Tagalog,Part of Speech,Definition
handulong,n,sudden and fierce attack
handulungan,v,attack suddenly and fiercely
handusay,adj,lying prostrate; sprawled
Hane,interrog,Understand? What? Eh?
hanga,n,1. admiration; 2. amazement; 3. appreciation
hangaan,v,amaze; surprise greatly
hangaan,v,appreciate; admire
hangad,n,desire; purpose; ambition; intention
hangal,1,adj.; 2. n 1. stupid; idiotic; silly; frivolous; 2. stupid person
hangan,v,admire; marvel at; wonder
hangarin,v,desire; aspire; mean; seek; woo
hangarin,n,desire; purpose; ambition; intention
hangga,n,result; end; outcome
hangga't,prep,if not (unless)
hanggahan,v,put an end to something
hanggahan,n,terminal point; end; boundary; destination
hanggan,n,boundary; barrier; limits; sideline; end
hangganan,n,boundary; barrier; limits; sideline; end
hanggang,prep,until; till; unto; to; so far as; up to
hanggang ngayon,adv,hitherto; until now; still
hanggang sa kasalukuyan,comp,up to the present time
hanggang sa libingan,comp,as far as the grave
hangganin,adj,finite
hanghang,n,pungency of taste
hanghangan,v,make pungent
hangin,n,air; atmosphere; wind
hanginan,n,draught; (US: draft ); current of air
hanging palay-palay,comp,"breeze; any soft, gentle wind"
hanginin,v,be blown by the wind
hanglay,n,sour and acrid taste or odour (US: odor) of uncooked vegetables
hango,adj,derived; extracted; adapted
hango,n,literary adaptation or reproduction from original
hango,n,relief from difficulties
hango,n,removal from fire of somethng cooked
hangos,adj,out of breath (due to hurry or excitement)
hangos,n,gasp; pant; act of gasping or panting
hanguin,v,extricate from difficulties; reclaim; save
hanimun,n,honeymoon
hanip,n,chicken flea (Ceratophyllus gallinae)
hanipin,v,be infested with chicken flea
hantad,adj,exposed
Hantanum,n,Hanthanum (Ha)
hantaran,adv,in the open; in the full view
Hantay,intrj,"Wait!; Wait, I will go with you!"
hantik,n,"large, red, poisonous ant"
hantong,n,destination; end
hantungan,v,stop; end; result in
hantungan,n,1. stopping place; terminal; final end; 2. boundary; 3. cemetery
haot,n,"dried ""tinsoy"" fish"
hapag,n,table; low table made of bamboo
hapak,adj,chopped
hapakin,v,chop
hapaw,n,excess liquid in boiling rice that is removed
hapaw,n,formation on the surface of broth that looks like dirt
hapaw,n,mound of grains on top of a cereal measure
hapawin,v,1. skim; 2. report in a superficial manner
hapay,adj,1. tilted; inclined; drooping very low; 2. bankrupt
hapay,n,1. inclination; 2. bending low; drooping
hapay,n,failure in business; bankruptcy
hapdi,n,smart; smarting pain; stinging pain
hapdi ng loob,comp,grief; painful feeling
hapila,n,1. breakwater; reef; shoal; 2. small dike in ricefields
hapila,n,something used to prevent piled grains from scattering
hapila,n,thin plank along upper edge of a boat
hapin,n,"1. fine string; 2. fishng line; 3. thin twine, etc. in necklaces"
hapis,adj,1. sad; sorrowful; 2. gaunt; desolate
hapis,n,1. anguish; 2. distress; pain; 3. grief; 4. despondency; 5. self-pity
hapis na hapis,adj,very sorrowful/sad; very gloomy/desolate
hapisin,v,cause grief or despondency
hapit,adj,"tight-fitting (dress, trousers, or the like); taut; tense"
hapitan,n,pressing machine; device used for for tightening
hapitin,v,"make tight, etc."
haplas,n,application or rubbing on of a liniment
haplasan,v,apply a liniment
haplit,n,"final burst of energy as in trying to win a race, etc."
haplit,n,stroke with lash; reprimand; sarcastic remark
haplitin,v,1. flick (with a whip); 2. reprimand or chastise verbally
haplos,n,gentle massaging of the skin
haplot,n,slight washing of the face with wet hands
haplusin,v,stroke gently; massage tenderly
Hapniyum,n,Hafnium (Hf) [chemistry]
hapo,adj,tired out; fatigued
hapo,n,asthma
hapo,n,panting due to extreme fatigue
Hapon,n,Japan
hapon,n,afternoon
hapon,n,perching of birds
Hapones,n,Japanese; native of Japan (Male)
Haponesa,n,Japanese; native of Japan (Female)
hapuin,v,1. be or become exhausted; 2. be winded; 3. pant due to fatigue
hapuin,v,suffer from asthma
hapunan,v,perch on
hapunan,n,dinner; supper; meal in the late afternoon with tea
hapung-hapo,adj,exhausted; very tired
hapung-hapo,adj,very dreary; weary; tired; tired out
hara-kiri,n,Japanese way of committing suicide
haragan,n,loiterer; idler
harakiri,n,Japanese way of committing suicide
harana,n,serenade
haranahan,n,several serenades (at once)
haranahin,v,serenade
harang,n,bar; barrier; obstacle
harang (ang tainga),adj,flap-eared
harang na bato,comp,reef; shoal
harangan,v,1. block the way; 2. waylay and hold up
harangin,v,hold up; stop by force and rob; intercept
harap,n,1. front; 2. aspect; 3. presence; 4. sex-organ
harapan,v,1. place oneself in presence of someone; attend at; 2. submit to someone
harapan,adj,face to face; candidly
harapan,n,1. front; 2. aspect; 3. presence; 4. sex-organ
harapin,v,1. present oneself formally; 2. report; 3. attend to; 4. confront
haraya,n,1. imagination; 2. vision; illusion
harayain,v,imagine
hardin,n,garden
hardinera,n,gardener
hardwer,n,hardware; hardware store
hari,n,king; ruler
hari-harian,n,dictator; pseudo-king
harina,n,flour
harinahin,v,make flour; grind into flour
Harinanga,intrj,May it become true!
Harinawa,intrj,May it become true!
harmonyum,n,harmonium; organ
haro,n,earthen jug or pitcher
harok,n,snore; snoring
haros,adj,frolicsome; prankish; sportive
haros,n,frolic; prank; mischief
harot,adj,"mischievous; quick in desisions, actions, and to change one's mind; flippant"
hasa,adj,1. sharp (as tool); 2. well-trained
hasa,n,1. sharpening of tools (on whetstone); 2. training to become expert
hasaan,n,grindstone; whetstone; hone
hasahasa,n,species of mackerel
hasang,n,zoo 1. gill; 2. valve on wind instruments; 3. cover for holes of locks
hasang-bato,n,whetstone
hasap,n,"irritation of the eyes caused by smoke, etc."
hasap,n,smoke that gets into the nose and eyes
hasapin,v,suffocate
hasik,n,sowing seeds
hasikan,v,sow with seeds
hasinto,n,hyacinth
hasmin,n,jasmine
haso,adj,tied loosely
haspe,n,"grain; lines in wood, marble, etc."
haspe,n,jasper (geology)
hatak,n,pulling; towing; hauling
hatakin,n,pull; tow; warp
hataw,n,thrashing; beating; hitting
hatawin,v,"thrash, beat or hit"
hati,adj,divided into two equal parts
hati,n,1. division into two equal parts; 2. dividing line in the hair
hatian,v,give one half (of something)
hatian,n,50-50 partnership
hatid,n,escorting; conducting; accompanying
hatid-dumapit,n,gossip [n]; given to gossip [adj.]
hatiin,v,1. divide in half; 2. divide into more than two parts; 3. go halves
hatiin,adj,dissected
hatiin,n,dividend
hatimbilang,n,fraction in arithmetic
hatimbilog,n,semicircle
hatimbulog,n,hemisphere
hating-bilang,n,fraction in arithmetic
hating-daigdig,n,half of the earth's surface
hating-globo,n,hemisphere
hatinggabi,n,midnight
hatinggabihin,v,be overtaken by midnight
hatinig,n,telephone
hatinig-diglap,n,radiotelephone
hatiran,v,take or deliver (something to someone)
hatiran,n,fingerling
hatirang-karera,n,relay race (in sports)
hatiwad,n,radiogram
hatol,n,1. sentence (jur.); 2. counsel; 3. medical prescription; 4. decision of referee
hatol ng hurado,comp,verdict
hatsing,n,sneeze; sound of sneezing
hatsing nang hatsing,comp,continuos sneezing
hatulan,v,1. judge; sentence; 2. convict; 3. adjudge
haula,n,cage
hawa,n,contagion; infection catching a disease
hawa-hawa,adj,infected
hawahan,v,infect (others with a contagious disease)
Hawai,n,Hawaii (group of islands in Pacific)
hawak,adj,held in the hand; in actual posession
hawak,n,hold; grip; grasp
hawak-hawak,adj,continuosly hold in the hand
hawak-hawkan,v,paw; handle awkwardly or roughly
hawakan,v,take hold of
hawakan,n,handle
hawan,adj,cleared; cleaned up
hawan,n,"1. clearing made by removal of grass, trees, etc.; 2. clearing in the sky"
hawanan,v,clear a place of shrubs or undergrowth (US: underbrush)
hawanin,v,"1. clear away shrubs/undergrowth (US: underbrush); 2. disperse people, etc."
hawas,adj,1. having a fine posture (of the body); 2. oval-shaped; oval
haway,adj,"1. floating in air, as the clouds; 2. hanging but not touching the floor"
Haway,n,Hawaii (group of islands in Pacific)
haway,n,searching with a drag hook under water
hawhaw,n,third rinsing of clothes
hawhawan,v,rinse clothes for the third time
hawi,n,"parting undergrowth (US: underbrush), branches of trees, hair, etc."
hawig,adj,similar; like
hawig,n,similarity; resemblance; affinity
hawig-anghel,adj,angelical; like an angel
hawiin,v,"1. push away branches, etc,; 2. make a clearing; 3. part the hair"
hawili,n,small tree (roots are used for medicinal purposes)
hawla,n,cage; birdcage
hawong,n,wooden soup bowl
hawot,n,"dried ""tinsoy"" fish"
haya,n,bundle of rice stalks
haya,n,threatening gesture indicating anger
haya,n,tolerance of an act
hayaan,v,let be; not to touch or disturb
hayag,adj,conspicuous; easily seen; public
hayag na,adj,out; unmasket; made known
hayag na lihim,comp,open secret
hayagan,adj,1. professed; avowed; 2. ostensible; apparent
hayagan,adv,1. in public; 2. openly; 3. without restraint; 4. open to all
Hayan,intrj,There! There it is!
hayang,adj,spread out (as grain/fruits/clothes to dry)
hayap,n,"1. sharpness, e.g., of features; 2. sharpness language"
hayap,n,sharpness of edge/point of cutting instruments
haybrid,n,hybrid
haydrodaynamiko,n,hydrodynamics
haydroestatiks,n,hydrostatics
Haydrohen,n,Hydrogen (H)
haydroliks,n,hydraulics
haydropobya,n,1. hydrophobia; 2. rabies
haygrometro,n,hygrometer
hayhay,n,"clothes, tobacco leaves, etc., hung up for airing or drying in the sun"
hayhay,n,fresh air; breeze
hayhay,n,row; file
hayin,adj,organic
hayin,n,food laid on the table
hayin,n,offering in sacrifice or tribute
hayina,n,hyena
haying kapnayan,comp,organic chemistry
haykap,n,virus
haykapanayanon,n,biochemist
haykapnaayan,n,biochemistry
haykapnayan,n,biochemistry
haykapnayin,adj,biochemical
haynayan,n,biology
haynayanin,adj,biological
haynayanon,n,biologist
haynayin,adj,biological
Hayo!,intrj,Go! Go ahead! Get along!
hayok,adj,weak from hunger
hayon,n,1. farthest distance that can be readched; 2. efforts to finish a task
hayon,v,is there; was there [pseudo-verb]
Hayon,intrj,There! There it is!
hayop,n,animal; beast
hayop na dalawa ang paa,comp,biped (animal with two feet)
hayop na maninila,comp,beast of prey
hayop na may supot sa tiyan,n,marsupial
hayop na pantrabaho,n,beast of burden
hayop na pasusuhin,comp,very young animal
hayop na sisilain,comp,animal hunted for food
hayop-gubat,n,animal of the forest or jungle
hayuhay,n,swaying of leaves or branches of plants and trees
hayuma,n,"mending a fishing net, thatch roof, etc."
hayumahin,v,"mend fishing nets, thatch roofs, etc."
hayun,v,is there; was there [pseudo-verb]
Hayun,intrj,There! There it is!
hayupan,n,1. domestic animals taken care of; 2. zoo
He!,intrj,deprecating exclamation
hebilya,n,buckle; clasp
hedkuwarters,n,headquarters
hedkwarters,n,headquarters
Hekan!,intrj,call to pigs especially at feeding time
heko,n,dark sauce from salted shrimps
hektarea,n,hectare (10000 sq. m.)
helatina,n,gelatine
hele,n,lullaby
helehele,n,pretence (US: pretense) of not liking
helikopter,n,helikopter
helmet,n,helmet
Helo,intrj,"Hallo!, Hello!"
Helyum,n,Helium (He)
hematites,n,hematite (geology)
hemelo,n,1. cuff links; 2. stud (kind of button in a man's shirt)
heneral,n,general (army officer)
heneralisimo,n,generalissimo
henerasyon,n,generation
Henesis,n,Genesis
hentil,n,gentile; a person who is not a jew
henyo,n,genius
heoda,n,geode (geology)
heograpikal,adj,geographical
heograpiko,adj,geographic
heograpiya,n,geography
heokimika,n,geochemistry
heologo,n,geologist
heolohikong guhit-tagpuan,comp,geologic horizon
heolohiya,n,geology
heolohiyang pampetroleo,n,petroleum geology
heolohiyang pangkabuhayan,comp,economic geology
heolohiyang pangkasaysayan,comp,historical geology
heolohiyang pisiko,comp,physical geology
heometriya,n,geometry
heomorpolohiya,n,geomorphology
heopisika,n,geophysics
heotermal,adj,geothermal
Hep!,intrj,exclamatory answer to a call; exclamatory warning
hepe,n,chief; boss
heranyo,n,geranium
herarkia,n,hierarchy
herbiborus,adj,herbivorous
heringgilya,n,syringe; hypodermic syringe
Hermanyum,n,Germanium (Gr)
hero,n,brand on cattle and horses
heroglipiko,adj,hieroglyphic
hersisyo,n,exercise; training
hersisyuhin,v,give exercise to; train
heruhan,v,put a brand on cattle
Hesus,n,Jesus
Hesuskristo,n,Jesus Christ
Heswita,n,Jesuit
Heto!,intrj,Here it is! Here!
Hey!,excl,Hi!
Hi-ya,intrj,Giddap! Get up! (driving a horse)
"Hi!, Hi!",excl,1. Hi!; 2. exclamation to get animals to move (faster)
hibang,adj,delirious; crazy; beside oneself; mad
hibang na hibang,comp,very crazy; mad
hibas,adj,reduced in intensity; gone down
hibas,n,low tide
hibat,n,enigma
hibat,n,proverb
hibay,n,swaying of body due to weakness
hibaybay,n,"territory bordering on a sea, lake or big river"
hibi,n,pursing of lips by one who is about to cry; pout; pouting
hibi,n,small dried shrimps
hibik,n,supplication; pleading; sob; sobbing; lament
hibikan,v,plead with
hibilya,n,buckle
hibla,n,1. length of thread inserted into a needle; 2. strand (thread in a rope)
hiblahan,v,thread (a needle)
hibo,n,adulation; flattery
hibo,n,temptation
hibok,n,persuading or seducing by flattery
hibuin,v,seduce by flattery
hidhid,adj,very stingy; excessively frugal
hidhid,n,refreshing a sick person by wetting the tongue with water
hidhid asin,comp,eating only a few grains of salt added to rice (said of very poor people)
Hidrargirum,n,Mercury (Hg)
hidrogeno,n,hydrogen (H)
hidwa,adj,1. contrary; contradictory; 2. anomalous; irregular
hidwaan,n,rift; discord; disagreement
higa,adj,lying down; recumbent; horizontal
higaan,v,lie on; lie down on something
higaan,n,"resting place (bed, lounge, etc.)"
higab,n,gape (with open mouth); yawn; yawning
higad,n,species of medicinal plant
higad,n,black woolly caterpillar
higad,n,fang; tusk of certain animals
higad-higaran,n,Indian heliotrope or erysipela plant
higante,n,giant; man of great size
higanti,n,revenge; vengeance; reprisal; retaliation
higantihan,n,exchange of reprisals
higdulan,n,maximum
higdulin,adj,maximum
highayin,adj,superorganic
higing,n,1. cue to start singing; 2. humming of initial note by conductor
higing,n,buzz; hum; drone; whinning sound of a bullet
higing,n,something heard vaguely and not understood
higing,n,tone; tune
higit,adv,more (than); exceeding; far; much; over; plus; and more
higit,n,"weaving of nets, esp. fishing nets"
higit ang pagkakagusto,comp,preference
higit na kakaunti,comp,lesser; fewer
higit na maliit,comp,lesser; smaller; minor
higit na mataas,comp,"higher in position, rank, etc."
higit pa,adv,rather
higit sa,adv,more (than); exceeding; far; much; over; plus; and more
higit sa lahat,comp,chiefly; especially; above all
higitin,v,1. pull until tight; 2. excel; surpass
higlikas,adj,supernatural
higliknayan,n,metaphysics
hignaw,n,serenity; calmness of weather or climate
higop,n,sipping or sucking (into the mouth)
higpit,n,"closeness (contest, game etc.)"
higpit,n,strictness; severity; inclemency; rigor (US); stubbornness
higpit,n,tightness
higpitan,v,tighten; make tight
higpitin,v,tighten; make tight
higpuno,n,sovereign
higpunong lakas,comp,sovereign power
higpunuan bansa,comp,sovereign state
higsipnayan,n,higher mathematics
higtan,v,outnumber; be more than; exceed
higupan,v,sip
higupan,n,sipping tube
higupin,v,sip; drink little by little
hihigan,n,"resting place (bed, lounge, etc.)"
hihiman-himan,adv,calmly
hihip,n,blow; blowing; puff
hihip,n,blow; gust; breeze
hihip,n,blowpipe
hihipan,n,mouthpiece of a wind instrument
hika,n,asthma
hikab,n,gape (with open mouth); yawn; yawning
hikahos,adj,1. needy; badly off; bankrupt; 2. destitute
hikahos,adj,weary by too much work/responsibilities
hikain,v,suffer from asthma
hikain,adj,asthmatic
Hikan!,intrj,"call to pigs, especially at feeding time"
hikap,n,gallivanting; going around
hikaw,n,earring
hikaw-hikawan,n,false earrings
hikawan,v,put earrings on (someone)
hikayat,n,persuasion; persuading
hikayatin,v,"1. persuade; press; 2. entice by pleasant words, etc."
hikbi,n,sob; sobbing; sound of a sob
hikit,n,"weaving of nets, esp. fishing nets"
hiklas,adj,torn apart
hiklat,adj,forcibly widened by distending the sides
hiklatin,v,"forcibly widen the sides of a hole, etc."
hikwat,adj,raised or lifted by lever
hila,n,1. the thing pulled; 2. attraction; invitation; persuading
hila,n,pulling; tow; haul
hilab,n,1. swell; 2. rise; 3. distension (med.); 4. spasm; 5. movement of fetus
hilabo,n,free-for-all
hilaga,n,north
hilagang balniing taluktok,comp,magnetic pole
hilagang-kanluran,adj,northwest; northwest direction/locality
hilagang-silangan,adj,northeast; northeast direction/locality
hilagpos,n,getting loose (from something that ties or binds)
hilagyo,n,spirit; affinity; essence; guardian angel
hilahid,n,smear obtained in passing/touching
hilahil,n,hardship; distress; grief; tribulation
hilahin,v,1. drag; haul; trail; 2. drag someone along; persuade
hilahiran,v,smear (something)
hilahod,adj,dragging feet
hilahod,n,dragging movement of the feet; limping; plodding; trudging
hilakbot,n,fright; terror; horror; dread; fear
hilako,adj,poorly made (said of merchandise)
hilalagyo,n,spirit; affinity; essence; guardian angel
hilam,n,"skin blemish, esp. in the face"
hilam,n,"smart pain in the eyes due to soap, etc."
hilam,n,turbidity; muddiness
hilamos,n,washing of the face
hilamusan,v,wash the face (of another)
hilantad,adj,lying down on the floor without any bed clothes
Hilat,intrj,That's what you get! You deserve it!
hilat,n,stretch of an opening
hilata,adj,sprawled; lying in a relaxed manner on one's back
hilatsa,n,thread unravelled from cloth
hilaw,n,uncooked; raw; green; unripe
hilbana,n,basting; tack; stitch used as temporary fastening
hilbanahan,v,baste; tack; sew with temporaty stitches
hilera,n,row; file; alignment
hilerahan,v,line up in front (of something/someone)
hilhil,n,"loud, high-pitched laughter"
hili,n,envy
hili,n,lullaby song; a type of boat song
hilian,n,mutual envy
hilig,adj,inclined; leaning; slanting; aslant
hilig,n,1. liking; appetite; 2. talent; 3. inclination; 4. flair; 5. tendency
hilig,n,inclination; leaning position: slant; incline
hilig-makalupa,n,materialism
hilihid,adj,twisted to one side; awry
hilihid,n,panorama
hiliin,v,make (someone) envious
hilik,n,snore; snoring
hiling,n,1. request; 2. petition; 3. requisition; 4. application; 5. claim
hiling-hilingin,v,importune; ask urgently for
hilingan,v,ask for a favour (US: favor)
hilingin,v,petition; ask earnestly; ask or apply for; invite
hilis,n,diagonal
hilis,n,movement of the bow on a violin [by ext.]
hilis,n,sliced portion shaped like a parallelogram
hilis-kalamay,n,"gem, gold, etc. cutted slantingly"
hilisin,v,1. cut something slantingly; 2. press and squeeze something (e.g.: pimple)
hilo,adj,dizzy; confused; groggy; shaky
hilo,n,dizziness; giddiness; vertigo
hilod,n,scrubbing of skin to remove dirt
hilom,n,cicatrization/healing of a wound
hilom,n,closing up of an opening (crevice)
hilom,n,nightfall
hilot,n,midwife
hiluhin,v,make (someone) dizzy
hiluka,adj,1. languishing; indisposed; 2. pale and with rings under the eyes
hilumbo,n,species of bee
hilungbo,n,species of bee
hiluran,v,scrub the skin (of somebody else)
hilurin,v,scrub; clean the body with a piece of stone when taking a bath
hilutin,v,massage
himagas,n,dessert
himagsik,n,rebellion; revolution; revolt; mutiny
himagsikan,n,rebellion; revolution; revolt; mutiny
himakas,n,adj. 1. last farewell; 2. last will and testament; 3. parting; farewell
himala,n,miracle
himalay,n,second threshing of rice stalks
himalayin,v,1. glean; 2. gather stalks of grain left on the field by reapers
himaling,adj,having a great liking for
himaling,n,obsession
himan,n,1. slowness and gentleness in action; 2. calmness; tranquility
himanting,n,"scraping off small branches, nodules, etc. from bamboo or tree"
himas,n,gentle massage; caress; stroking the feathers of fighting roosters
himas-himasin,v,"keep massaging gently, etc."
himasin,v,massage gently
himasmas,n,regaining of consciousness (after fainting or sleeping)
himasok,n,interference; meddling; intrusion
himat,n,excessive carefullness
himatay,n,faint; swoon
himatayin,v,faint; swoon
himatayin,adj,prone to faint or swoon
himaton,n,showing the direction to a place; information; instructions; denunciation
himatong,n,showing the direction to a place; information; instructions; denunciation
himay,n,1. shelling; husking; 2. stringing and chopping up of beans
himay,n,rest after work; relaxing before going to bed
himayin,v,"shell; peel; husk (corn, rice, etc.)"
himaymay,n,peacefulness; quietude; US: tranquility
himaymay,n,fibre (US: fiber); fibrous tissue
himbalangay,n,sudden death due to cerebral haemorrhage (US: hemorrhage) or heart failure
himbing,n,deep sleep
himbubuli,n,species of lizard/chameleon
himbubuyog,n,wasp; hornet; bumblebee
himelo,n,1. cuff links; 2. stud (kind of button in a man's shirt)
himig,n,humidity
himig,n,tune; melody; rhythm of music; note; tone; manner of speaking/writing
himlay,n,act of lying down to rest or sleep
himlayan,v,lie down to rest
himlayan,n,1. bed; resting place; 2. cemetery; resting place for the dead
himnasyo,n,gymnasium
himno,n,hymn; psalm
himo,n,anointing with oil
himod,n,licking (something) with the tongue
himok,n,inducement; persuasion; enticement
himpak,adj,1. deflated (balloon); 2. emaciated (body); 3. drained off; emptied
himpapalis,n,species of swallow
himpapawid,n,air; atmosphere; firmament; sky
himpil,n,stop; stopping to rest; parking
himpilan,n,"1. station; stopping place; 2. base; military station; 3. place for guard, police, etc."
himpilan ng eruplano,comp,airport
himpit na parirami,comp,perfect square
himtang,n,state; condition
himukas,n,removal of small fish adhering to a net
himukin,v,persuade; induce; encourage; urge
himuko,n,pruning plants or trees; lopping off branches
himukto,n,swelling around the eyes due to weeping
himulmol,n,1. plucking of feathers from fowls or hair from fur of animals; 2. ravelled thread
himulmulan,v,pluck a bird
himulmulin,v,pluck; pull the feathers off a fowl
himuran,v,lap up with the tongue; lick
himurin,v,lap up with the tongue; lick
himuti,n,final picking of fruits from trees
himutok,n,"outcry of disappointment, distress or deep sorrow; loud sigh"
hina,n,1. weakness; 2. frailty; 3. poverty; 4. slowness; 5. lack of force
hinaan,v,soften; weaken
hinaba-haba,adv,1. ultimately; finally; 2. along
hinagap,n,idea; notion; conjecture
hinagap,n,wistful thinking
hinagapin,v,imagine; conceive; conjecture
hinagpis,n,sorrow; affliction; anguish; doleful sigh
hinahangaan,n,admiration; the object that is admired
hinahangad,adj,intended; meant
hinaharap,n,future; outlook; tomorrow (near future)
hinahon,n,self-control; gentleness; equanimity
hinahunin,v,calm one who is angry; pacify
hinaing,n,supplication; earnest request
hinakdal,n,1. complaint; 2. displeasure; resentment
hinakot,n,"feeling of apprehension, misgiving or fear"
hinala,n,suspicion
hinalahaban,adj,singed; scorched; well roasted
hinalain,v,suspect that something (wrong) is being done
hinalaw,adj,1. condensed; adapted; 2. selected; 3. superficial
hinamad,n,stretching of one's arms or legs because of feeling of laziness
hinampo,n,hurt feeling towards some loved one
hinanakit,n,grievance; ill will; grudge; displeasure
hinang,n,solder; welding; weld; welded point
hinangan,v,apply solder
hinangin,v,solder together
hinapak,adj,chopped
hinas,n,ointment; unguent; pomade
hinaw,n,washing of hands or feet
hinawa,n,1. satiety; surfeit; 2. great boredom; 3. loss of interest
hinawan,v,wash the hands or feet with water
hinawan,n,wash bowl
hinay,n,slowness in action or speaking
hinay-hinay,adv,slowly; little by little
hinayan,v,make slower (one's way of acting or speaking)
hinayang,n,regret for not having made use of some opportunity; sense of loss
hindi,adv,not; no
hindi alam,comp,unaware; not knowing
hindi banal,comp,profane; not sacred
hindi disidido,comp,undecided; not having one's mind made up
hindi gawi,comp,alien; strange; not customary
hindi gusot,comp,smooth
hindi handa,comp,unprepared; extemporaneous; impromptu
hindi hiyang,comp,allergic [adj.]
hindi hiyang,comp,allergic [adj.]
hindi iisipin,comp,inconceivable; unthinkable
hindi inaasahan,adj,contingent; possible
hindi iniintindi,comp,unnoticed
hindi kailanman,comp,never; not at all; not in any way
hindi kamukha,comp,unlike; different in appearance
hindi kapani-paniwala,adj,fabulous; not believable
hindi kaya,comp,unable; not able
hindi kaya ng ulo,comp,too hard to understand
hindi maaari,comp,cannot; not possible
hindi maaaring makita,comp,invisible
hindi maano,v,be unaffected; be uninjured
hindi mahusay,adv,poorly; badly
hindi maipahayag,comp,inexpressible; beyond expression
hindi makahinga,comp,stifle; be unable to breathe freely
hindi makasagot,v,be stumped; be unable to answer
hindi makasalo ng bola,v,fail to catch a ball
hindi makasarili,comp,unselfish; caring for others
hindi makasiya,v,disappoint; dissatisfy
hindi mamagkano,adj,considerable; much
hindi mapadumi,comp,constipated
hindi mapagkakasundo,comp,irreconcilable
hindi mapanganib,comp,not dangerous; safe
hindi mapansin,v,escape; fail to notice or see
hindi mapapasok,comp,impenetrable; that cannot be entered
hindi masabi,comp,unutterable; unspeakable; that cannot be expressed
hindi masasabi,comp,unutterable; unspeakable; that cannot be expressed
hindi masiyahan,v,be dissatisfied; be disappointed; be discontented
hindi masusunog,comp,fireproof
hindi matapang,comp,"1. not brave, etc.; 2. mild (drinks); 3. weak (in taste, etc.)"
hindi mumunti,adj,considerable; much
hindi na,comp,not any more; no more; not in any degree
hindi na mapagagaling,comp,irremediable; incurable
hindi nababago,adj,changeless; not changing
hindi nababahala,comp,undisturbed
hindi nagbabago,adj,changeless; not changing
hindi nagbabawa,comp,relentless; unyielding
hindi nagkakalamangan|,adj,close; nearly equal
hindi nagpapautang,comp,no credit
hindi nahayag,comp,untold; not revealed
hindi nakatatawag-pansin,comp,unpretending; unassuming
hindi naman,comp,not at all; it's not that bad
hindi nasaktan,comp,unhurt; not hurt
hindi nasaktan,comp,unhurt; not hurt
hindi natitiyak,adj,contingent; possible
hindi natutunaw,comp,insoluble
hindi ninenerbiyos,adj,calm; not nervous
hindi pa lutas,comp,pending; not yet settled
hindi pa natatagalan,adv,not long ago; recently
hindi pabagu-bago,adj,consistent; keeping to the same opinion or cause
hindi paggamit,comp,disuse; lack of use
hindi pagkadumi,n,constipation
hindi pagkakapareho,comp,inequality; lack of equality
hindi panahon,comp,out of season
hindi tumutol,v,acquiesce; accept without making objections
hinding-hindi,adv,never; not at all; not in any way
Hindu,n,native of India
hinebra,n,gin (alcoholic drink)
hinete,n,jockey
hinga,n,respiration; breathing; wind
hingahan,v,breathe into
hingal,n,gasp; gasping for breath; pant
hingalo,n,death agony; agony
hingan,v,ask; request
hingasing,n,growl; grumbling; snort
hinggil kay,prep,regarding; concerning
hinggil sa,prep,regarding; concerning
hingi,n,something obtained by request; requirement; thing demanded
hingian,v,ask or request for
hingian,n,person from whom one gets something just for the asking
hingin,v,ask for; sue; requisition; require; demand
hinging pautos,v,demand; ask with authority
hingkod,adj,lame; limping
hinguko,n,cutting of finger or toe nails
hingukuhan,v,cut the nails (of someone)
hingutan,v,pick lice from (someone's) hair
hinguto,n,picking lice from the hair; delousing
hingutuhan,v,pick lice from (someone's) hair
hingutuhan,n,act of picking lice from one another's hair
hinhin,n,modesty; demureness; refinement
hinihingi,n,something obtained by request; requirements; thing demanded
hinihingi ng regulasyon,comp,required by some regulation
hinihirang,v,appointive; filled by appointment
hiniklat,adj,forcibly widened by distending the sides
hiniksik,n,picking of nits from the hair
hiniksikan,v,pick out nits and/or lice from hair
hininga,n,picking out food particles from teeth
hininga,n,breath; respiration
hiniram,adj,borrowed; adapted (literary work)
hinirang,adj,chosen; selected; appointed
hinlalaki,n,"1. the thumb or the big toe; 2. thumb on gloves, etc."
hinlalato,n,middlefinger or toe
hinlalay,adj,hopping on one foot
hinlog,n,relative; kith and kin
hinog,adj,ripe (fruit); mellow
Hintay,intrj,Wait!
hintayan,n,1. waiting place; 2. mutual waiting
hintayin,v,anticipate; await; wait for
hinto,n,halt; top; intermission
Hinto,intrj,Stop!
hintuan,v,1. stop (a certain place); 2. stop (for a certain person)
hintuan,n,stopping place
hintutubi,n,large dragonfly
hintuturo,n,index finger
hinuha,n,inference; deduction; implication
hinuhain,v,deduce; gather; infer; conclude
hinukhan,v,cut the nails (of somebody)
hinukhin,v,cut the toe or finger nails
hinuko,n,cutting of finger or toe nails
hinukod,n,stature; posture; aspect; look; appearance
hinukuhan,v,cut the nails (of somebody)
hinukuhin,v,cut the toe or finger nails
hinuli,n,removal of earwax
hinuli,n,catch; things caught in fishing/hunting
hinulihan,v,remove the earwax (of someone)
hinulma,adj,moulded (US: molded)
hinyango,n,chameleon
hinyayango,n,species of venomous snake
hipa,n,diminution; decreasing
hipag,n,sister-in-law
hipak,adj,caved-in; hollow; deflated; shrunken
hipan,v,blow; blow on; blow out; blow into
